Time [s], Analyzer Name,Device, Decoded Protocol Result
2.826569060000000,I2C,Unknown,Setup Read to [0x7F] + NAK
2.826624460000000,I2C,Unknown,0xFF + NAK
2.826674860000000,I2C,Unknown,0xFF + NAK
2.826701260000000,I2C,Unknown,0xFF + NAK
2.826747560000000,I2C,Unknown,0xFF + NAK
2.826778140000000,I2C,Unknown,0xFF + NAK
2.826807640000000,I2C,Unknown,0xFF + NAK
2.826829140000000,I2C,Unknown,0xFF + NAK
2.826850880000000,I2C,Unknown,0xFF + NAK
2.826863160000000,I2C,Unknown,0xFF + NAK
2.826888560000000,I2C,Unknown,0xFF + NAK
2.826901860000000,I2C,Unknown,0xFF + NAK
2.826918560000000,I2C,Unknown,0xFF + Missing ACK/NAK
2.826961180000000,I2C,Unknown,Setup Read to [0x7F] + NAK
2.827017300000000,I2C,Unknown,Setup Read to [0x01] + ACK
2.827021120000000,I2C,Unknown,Setup Write to [0x00] + ACK
2.827022800000000,I2C,Unknown,0x88 + ACK
2.827025400000000,I2C,Unknown,0x09 + ACK
2.827033920000000,I2C,Unknown,0x02 + ACK
2.827049880000000,I2C,Unknown,0xBB + Missing ACK/NAK
3.048139240000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.048162740000000,I2C,0x1D,0x0C + ACK
3.049132580000000,I2C,0x1D,Setup Read to [0x1D] + ACK
3.049156080000000,I2C,0x1D,0x00 + NAK
3.050133660000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.050157180000000,I2C,0x1D,0x16 + ACK
3.051132500000000,I2C,0x1D,Setup Read to [0x1D] + ACK
3.051156020000000,I2C,0x1D,0x00 + NAK
3.052133100000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.052156600000000,I2C,0x1D,0x2A + ACK
3.053128320000000,I2C,0x1D,0x02 + ACK
3.053163200000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.053186700000000,I2C,0x1D,0x0E + ACK
3.054128420000000,I2C,0x1D,0x02 + ACK
3.054163300000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.054186800000000,I2C,0x1D,0x2B + ACK
3.055128280000000,I2C,0x1D,0x00 + ACK
3.055163900000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.055187400000000,I2C,0x1D,0x09 + ACK
3.056128120000000,I2C,0x1D,0xD0 + ACK
3.056163260000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.056186760000000,I2C,0x1D,0x0A + ACK
3.057128220000000,I2C,0x1D,0x08 + ACK
3.057163600000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.057187120000000,I2C,0x1D,0x21 + ACK
3.058128080000000,I2C,0x1D,0x54 + ACK
3.058162960000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.058186460000000,I2C,0x1D,0x23 + ACK
3.059128180000000,I2C,0x1D,0x1B + ACK
3.059163060000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.059186560000000,I2C,0x1D,0x24 + ACK
3.060128040000000,I2C,0x1D,0x3F + ACK
3.060163660000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.060187160000000,I2C,0x1D,0x25 + ACK
3.061127880000000,I2C,0x1D,0x3F + ACK
3.061163000000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.061186520000000,I2C,0x1D,0x26 + ACK
3.062127980000000,I2C,0x1D,0x28 + ACK
3.062163360000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.062186880000000,I2C,0x1D,0x27 + ACK
3.063127840000000,I2C,0x1D,0x7F + ACK
3.063162720000000,I2C,0x1D,Setup Write to [0x1D] + ACK
3.063186220000000,I2C,0x1D,0x0F + ACK
